x-axis coordinate: 0.01, Initial temperature: 231.12, Heat Input: 1060.34, Electrode Velocity: 0.0031, Maximum temperature prediction: 811.34
x-axis coordinate: 0.01, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 812.16
x-axis coordinate: 0.01, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 812.16
x-axis coordinate: 0.01, Initial temperature: 230.01, Heat Input: 1062.90, Electrode Velocity: 0.0031, Maximum temperature prediction: 811.03
x-axis coordinate: 0.01, Initial temperature: 230.01, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 811.98
x-axis coordinate: 0.015, Initial temperature: 231.12, Heat Input: 1060.34, Electrode Velocity: 0.0031, Maximum temperature prediction: 925.14
x-axis coordinate: 0.015, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 920.44
x-axis coordinate: 0.015, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 920.44
x-axis coordinate: 0.015, Initial temperature: 230.01, Heat Input: 1062.90, Electrode Velocity: 0.0031, Maximum temperature prediction: 916.39
x-axis coordinate: 0.015, Initial temperature: 230.01, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 913.12
x-axis coordinate: 0.02, Initial temperature: 231.12, Heat Input: 1060.34, Electrode Velocity: 0.0031, Maximum temperature prediction: 1039.51
x-axis coordinate: 0.02, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1039.83
x-axis coordinate: 0.02, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1039.83
x-axis coordinate: 0.02, Initial temperature: 230.01, Heat Input: 1062.90, Electrode Velocity: 0.0031, Maximum temperature prediction: 1038.37
x-axis coordinate: 0.02, Initial temperature: 230.01, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1038.54
x-axis coordinate: 0.025, Initial temperature: 231.12, Heat Input: 1060.34, Electrode Velocity: 0.0031, Maximum temperature prediction: 1052.33
x-axis coordinate: 0.025, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1061.20
x-axis coordinate: 0.025, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1061.20
x-axis coordinate: 0.025, Initial temperature: 230.01, Heat Input: 1062.90, Electrode Velocity: 0.0031, Maximum temperature prediction: 1055.84
x-axis coordinate: 0.025, Initial temperature: 230.01, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1066.26
x-axis coordinate: 0.03, Initial temperature: 231.12, Heat Input: 1060.34, Electrode Velocity: 0.0031, Maximum temperature prediction: 1074.49
x-axis coordinate: 0.03, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1085.74
x-axis coordinate: 0.03, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1085.74
x-axis coordinate: 0.03, Initial temperature: 230.01, Heat Input: 1062.90, Electrode Velocity: 0.0031, Maximum temperature prediction: 1071.84
x-axis coordinate: 0.03, Initial temperature: 230.01, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1087.32
x-axis coordinate: 0.035, Initial temperature: 231.12, Heat Input: 1060.34, Electrode Velocity: 0.0031, Maximum temperature prediction: 1113.00
x-axis coordinate: 0.035, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1120.18
x-axis coordinate: 0.035, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1120.18
x-axis coordinate: 0.035, Initial temperature: 230.01, Heat Input: 1062.90, Electrode Velocity: 0.0031, Maximum temperature prediction: 1099.24
x-axis coordinate: 0.035, Initial temperature: 230.01, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1113.97
x-axis coordinate: 0.04, Initial temperature: 231.12, Heat Input: 1060.34, Electrode Velocity: 0.0031, Maximum temperature prediction: 1079.73
x-axis coordinate: 0.04, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1076.07
x-axis coordinate: 0.04, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1076.07
x-axis coordinate: 0.04, Initial temperature: 230.01, Heat Input: 1062.90, Electrode Velocity: 0.0031, Maximum temperature prediction: 1070.37
x-axis coordinate: 0.04, Initial temperature: 230.01, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 1069.76
x-axis coordinate: 0.045, Initial temperature: 231.12, Heat Input: 1060.34, Electrode Velocity: 0.0031, Maximum temperature prediction: 998.34
x-axis coordinate: 0.045, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 993.35
x-axis coordinate: 0.045, Initial temperature: 230.75, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 993.35
x-axis coordinate: 0.045, Initial temperature: 230.01, Heat Input: 1062.90, Electrode Velocity: 0.0031, Maximum temperature prediction: 996.03
x-axis coordinate: 0.045, Initial temperature: 230.01, Heat Input: 1056.40, Electrode Velocity: 0.0031, Maximum temperature prediction: 989.93
