TIME,POINT1,POINT2,POINT3
0.000000,199.975178,199.975178,199.975178
0.020000,199.955862,199.955862,199.955862
0.040000,199.938392,199.938392,199.938392
0.060000,199.921540,199.921540,199.921540
0.080000,199.904896,199.904896,199.904896
0.100000,199.888323,199.888323,199.888323
0.120000,199.871774,199.871774,199.871774
0.140000,199.855234,199.855234,199.855234
0.160000,199.838699,199.838699,199.838699
0.180000,199.822166,199.822166,199.822166
0.200000,199.805634,199.805634,199.805634
0.220000,199.789104,199.789104,199.789104
0.240000,199.772575,199.772575,199.772575
0.260000,199.756048,199.756048,199.756048
0.280000,199.739522,199.739522,199.739522
0.300000,199.722998,199.722998,199.722998
0.320000,199.706475,199.706475,199.706475
0.340000,199.689954,199.689954,199.689954
0.360000,199.673434,199.673434,199.673434
0.380000,199.656915,199.656915,199.656915
0.400000,199.640398,199.640398,199.640398
0.420000,199.623882,199.623882,199.623882
0.440000,199.607368,199.607368,199.607368
0.460000,199.590855,199.590855,199.590855
0.480000,199.574343,199.574343,199.574343
0.500000,199.557833,199.557833,199.557833
0.520000,199.541324,199.541324,199.541324
0.540000,199.524817,199.524817,199.524817
0.560000,199.508311,199.508311,199.508311
0.580000,199.491806,199.491806,199.491806
0.600000,199.475302,199.475302,199.475302
0.620000,199.458800,199.458800,199.458800
0.640000,199.442299,199.442299,199.442299
0.660000,199.425799,199.425799,199.425799
0.680000,199.409300,199.409300,199.409300
0.700000,199.392803,199.392803,199.392803
0.720000,199.376306,199.376306,199.376306
0.740000,199.359811,199.359811,199.359811
0.760000,199.343316,199.343316,199.343316
0.780000,199.326823,199.326823,199.326823
0.800000,199.310331,199.310331,199.310331
0.820000,199.293840,199.293840,199.293840
0.840000,199.277351,199.277351,199.277351
0.860000,199.260864,199.260864,199.260864
0.880000,199.244378,199.244378,199.244378
0.900000,199.227895,199.227895,199.227895
0.920000,199.211414,199.211414,199.211414
0.940000,199.194936,199.194936,199.194936
0.960000,199.178462,199.178462,199.178462
0.980000,199.161993,199.161993,199.161993
1.000000,199.145529,199.145529,199.145529
1.020000,199.129071,199.129071,199.129071
1.040000,199.112620,199.112620,199.112620
1.060000,199.096179,199.096178,199.096178
1.080000,199.079747,199.079747,199.079747
1.100000,199.063327,199.063327,199.063327
1.120000,199.046921,199.046921,199.046921
1.140000,199.030531,199.030530,199.030530
1.160000,199.014157,199.014157,199.014157
1.180000,198.997807,198.997807,198.997807
1.200000,198.981475,198.981474,198.981474
1.220000,198.965179,198.965179,198.965179
1.240000,198.948893,198.948893,198.948893
1.260000,198.932677,198.932676,198.932676
1.280000,198.916432,198.916432,198.916432
1.300000,198.900346,198.900345,198.900345
1.320000,198.884097,198.884097,198.884097
1.340000,198.868265,198.868265,198.868265
1.360000,198.851847,198.851847,198.851847
1.380000,198.836604,198.836604,198.836604
1.400000,198.819512,198.819512,198.819512
1.420000,198.805762,198.805762,198.805762
1.440000,198.786552,198.786552,198.786552
1.460000,198.776755,198.776755,198.776755
1.480000,198.751447,198.751447,198.751447
1.500000,198.752193,198.752192,198.752192
1.520000,198.710129,198.710129,198.710129
1.540000,198.738780,198.738780,198.738780
1.560000,198.652042,198.652042,198.652042
1.580000,198.753546,198.753546,198.753546
1.600000,198.550426,198.550426,198.550426
1.620000,198.839172,198.839172,198.839172
1.640000,198.338838,198.338837,198.338837
1.660000,199.101272,199.101271,199.101271
1.680000,197.855898,197.855898,197.855898
1.700000,199.798683,199.798683,199.798683
1.720000,196.720550,196.720550,196.720550
1.740000,201.564858,201.564858,201.564858
1.760000,194.073786,194.073785,194.073785
1.780000,205.973912,205.973912,205.973912
1.800000,188.166089,188.166088,188.166088
1.820000,217.096986,217.096987,217.096987
1.840000,176.443178,176.443177,176.443177
1.860000,245.809309,245.809312,245.809312
1.880000,161.084555,161.084555,161.084555
1.900000,314.727488,314.727494,314.727494
1.920000,175.618376,175.618381,175.618381
1.940000,405.175401,405.175400,405.175400
1.960000,265.113100,265.113101,265.113101
1.980000,415.850553,415.850551,415.850551
2.000000,330.864878,330.864877,330.864877
2.020000,403.029067,403.029067,403.029067
2.040000,358.510116,358.510115,358.510115
2.060000,396.259979,396.259979,396.259979
2.080000,372.823048,372.823048,372.823048
2.100000,393.251668,393.251668,393.251668
2.120000,380.996974,380.996975,380.996975
2.140000,392.486592,392.486592,392.486592
2.160000,386.248057,386.248057,386.248057
2.180000,392.940605,392.940605,392.940605
2.200000,389.982606,389.982607,389.982607
2.220000,394.000221,394.000222,394.000222
2.240000,392.825652,392.825652,392.825652
2.260000,395.327831,395.327831,395.327831
2.280000,395.100453,395.100454,395.100454
2.300000,396.740324,396.740325,396.740325
2.320000,396.993644,396.993644,396.993644
2.340000,398.140738,398.140738,398.140738
2.360000,398.618629,398.618629,398.618629
2.380000,399.481019,399.481019,399.481019
2.400000,400.046436,400.046435,400.046435
2.420000,400.740525,400.740524,400.740524
2.440000,401.322858,401.322857,401.322857
2.460000,401.913406,401.913405,401.913405
2.480000,402.478421,402.478419,402.478419
2.500000,403.001347,403.001345,403.001345
2.520000,403.534250,403.534247,403.534247
2.540000,404.009531,404.009528,404.009528
2.560000,404.505574,404.505570,404.505570
2.580000,404.944463,404.944459,404.944459
2.600000,405.403819,405.403814,405.403814
2.620000,405.812858,405.812853,405.812853
2.640000,406.237888,406.237883,406.237883
2.660000,406.621106,406.621100,406.621100
2.680000,407.014947,407.014941,407.014941
2.700000,407.375046,407.375038,407.375038
2.720000,407.740919,407.740911,407.740911
2.740000,408.079903,408.079894,408.079894
2.760000,408.420805,408.420795,408.420795
2.780000,408.740304,408.740294,408.740294
2.800000,409.058896,409.058884,409.058884
2.820000,409.360332,409.360319,409.360319
2.840000,409.658922,409.658908,409.658908
2.860000,409.943582,409.943566,409.943566
2.880000,410.224159,410.224142,410.224142
2.900000,410.493233,410.493215,410.493215
2.920000,410.757507,410.757488,410.757488
2.940000,411.012106,411.012085,411.012085
2.960000,411.261557,411.261534,411.261534
2.980000,411.502718,411.502694,411.502694
3.000000,411.738635,411.738608,411.738608
3.020000,411.967330,411.967301,411.967301
3.040000,412.190849,412.190818,412.190818
3.060000,412.407985,412.407950,412.407950
3.080000,412.620119,412.620082,412.620082
3.100000,412.826546,412.826505,412.826505
3.120000,413.028208,413.028165,413.028165
3.140000,413.224723,413.224676,413.224676
3.160000,413.416747,413.416696,413.416696
3.180000,413.604099,413.604044,413.604044
3.200000,413.787252,413.787192,413.787192
3.220000,413.966151,413.966086,413.966086
3.240000,414.141145,414.141075,414.141075
3.260000,414.312262,414.312186,414.312186
3.280000,414.479770,414.479688,414.479688
