x-axis coordinate: 0.01, Initial temperature: 230.72, Heat Input: 1066.93, Electrode Velocity: 0.00310, Maximum temperature prediction: 808.33
x-axis coordinate: 0.01, Initial temperature: 228.84, Heat Input: 1061.55, Electrode Velocity: 0.00310, Maximum temperature prediction: 806.85
x-axis coordinate: 0.01, Initial temperature: 230.72, Heat Input: 1047.70, Electrode Velocity: 0.00312, Maximum temperature prediction: 781.01
x-axis coordinate: 0.01, Initial temperature: 230.72, Heat Input: 1061.78, Electrode Velocity: 0.00317, Maximum temperature prediction: 750.41
x-axis coordinate: 0.01, Initial temperature: 228.20, Heat Input: 1033.98, Electrode Velocity: 0.00310, Maximum temperature prediction: 773.61
x-axis coordinate: 0.015, Initial temperature: 230.72, Heat Input: 1066.93, Electrode Velocity: 0.00310, Maximum temperature prediction: 921.05
x-axis coordinate: 0.015, Initial temperature: 228.84, Heat Input: 1061.55, Electrode Velocity: 0.00310, Maximum temperature prediction: 900.70
x-axis coordinate: 0.015, Initial temperature: 230.72, Heat Input: 1047.70, Electrode Velocity: 0.00312, Maximum temperature prediction: 892.26
x-axis coordinate: 0.015, Initial temperature: 230.72, Heat Input: 1061.78, Electrode Velocity: 0.00317, Maximum temperature prediction: 872.06
x-axis coordinate: 0.015, Initial temperature: 228.20, Heat Input: 1033.98, Electrode Velocity: 0.00310, Maximum temperature prediction: 847.29
x-axis coordinate: 0.02, Initial temperature: 230.72, Heat Input: 1066.93, Electrode Velocity: 0.00310, Maximum temperature prediction: 1032.49
x-axis coordinate: 0.02, Initial temperature: 228.84, Heat Input: 1061.55, Electrode Velocity: 0.00310, Maximum temperature prediction: 1031.12
x-axis coordinate: 0.02, Initial temperature: 230.72, Heat Input: 1047.70, Electrode Velocity: 0.00312, Maximum temperature prediction: 1005.44
x-axis coordinate: 0.02, Initial temperature: 230.72, Heat Input: 1061.78, Electrode Velocity: 0.00317, Maximum temperature prediction: 998.02
x-axis coordinate: 0.02, Initial temperature: 228.20, Heat Input: 1033.98, Electrode Velocity: 0.00310, Maximum temperature prediction: 936.21
x-axis coordinate: 0.025, Initial temperature: 230.72, Heat Input: 1066.93, Electrode Velocity: 0.00310, Maximum temperature prediction: 1040.90
x-axis coordinate: 0.025, Initial temperature: 228.84, Heat Input: 1061.55, Electrode Velocity: 0.00310, Maximum temperature prediction: 1063.73
x-axis coordinate: 0.025, Initial temperature: 230.72, Heat Input: 1047.70, Electrode Velocity: 0.00312, Maximum temperature prediction: 1064.69
x-axis coordinate: 0.025, Initial temperature: 230.72, Heat Input: 1061.78, Electrode Velocity: 0.00317, Maximum temperature prediction: 1047.58
x-axis coordinate: 0.025, Initial temperature: 228.20, Heat Input: 1033.98, Electrode Velocity: 0.00310, Maximum temperature prediction: 1057.64
x-axis coordinate: 0.03, Initial temperature: 230.72, Heat Input: 1066.93, Electrode Velocity: 0.00310, Maximum temperature prediction: 1057.82
x-axis coordinate: 0.03, Initial temperature: 228.84, Heat Input: 1061.55, Electrode Velocity: 0.00310, Maximum temperature prediction: 1077.98
x-axis coordinate: 0.03, Initial temperature: 230.72, Heat Input: 1047.70, Electrode Velocity: 0.00312, Maximum temperature prediction: 1116.94
x-axis coordinate: 0.03, Initial temperature: 230.72, Heat Input: 1061.78, Electrode Velocity: 0.00317, Maximum temperature prediction: 1084.34
x-axis coordinate: 0.03, Initial temperature: 228.20, Heat Input: 1033.98, Electrode Velocity: 0.00310, Maximum temperature prediction: 1113.33
x-axis coordinate: 0.035, Initial temperature: 230.72, Heat Input: 1066.93, Electrode Velocity: 0.00310, Maximum temperature prediction: 1091.96
x-axis coordinate: 0.035, Initial temperature: 228.84, Heat Input: 1061.55, Electrode Velocity: 0.00310, Maximum temperature prediction: 1092.18
x-axis coordinate: 0.035, Initial temperature: 230.72, Heat Input: 1047.70, Electrode Velocity: 0.00312, Maximum temperature prediction: 1145.23
x-axis coordinate: 0.035, Initial temperature: 230.72, Heat Input: 1061.78, Electrode Velocity: 0.00317, Maximum temperature prediction: 1115.25
x-axis coordinate: 0.035, Initial temperature: 228.20, Heat Input: 1033.98, Electrode Velocity: 0.00310, Maximum temperature prediction: 1098.77
x-axis coordinate: 0.04, Initial temperature: 230.72, Heat Input: 1066.93, Electrode Velocity: 0.00310, Maximum temperature prediction: 1074.76
x-axis coordinate: 0.04, Initial temperature: 228.84, Heat Input: 1061.55, Electrode Velocity: 0.00310, Maximum temperature prediction: 1061.03
x-axis coordinate: 0.04, Initial temperature: 230.72, Heat Input: 1047.70, Electrode Velocity: 0.00312, Maximum temperature prediction: 1073.97
x-axis coordinate: 0.04, Initial temperature: 230.72, Heat Input: 1061.78, Electrode Velocity: 0.00317, Maximum temperature prediction: 1078.31
x-axis coordinate: 0.04, Initial temperature: 228.20, Heat Input: 1033.98, Electrode Velocity: 0.00310, Maximum temperature prediction: 1023.79
x-axis coordinate: 0.045, Initial temperature: 230.72, Heat Input: 1066.93, Electrode Velocity: 0.00310, Maximum temperature prediction: 999.76
x-axis coordinate: 0.045, Initial temperature: 228.84, Heat Input: 1061.55, Electrode Velocity: 0.00310, Maximum temperature prediction: 985.89
x-axis coordinate: 0.045, Initial temperature: 230.72, Heat Input: 1047.70, Electrode Velocity: 0.00312, Maximum temperature prediction: 958.27
x-axis coordinate: 0.045, Initial temperature: 230.72, Heat Input: 1061.78, Electrode Velocity: 0.00317, Maximum temperature prediction: 956.54
x-axis coordinate: 0.045, Initial temperature: 228.20, Heat Input: 1033.98, Electrode Velocity: 0.00310, Maximum temperature prediction: 885.22

